,ambiguity_type,distance_bert,distance_elmo,overlap,pos,same,source,string,version,word
29,Polysemy,0.13973551988601685,0.060236334800720215,high overlap,N,True,Klepousniotou et al (2008),chicken,M2_a_M2_b,chicken
30,Polysemy,0.06145507097244263,0.09543997049331665,high overlap,N,True,Klepousniotou et al (2008),class,M1_a_M1_b,class
31,Polysemy,0.09205275774002075,0.0994681715965271,high overlap,N,False,Klepousniotou et al (2008),class,M1_a_M2_a,class
32,Polysemy,0.07894694805145264,0.07260674238204956,high overlap,N,False,Klepousniotou et al (2008),class,M1_a_M2_b,class
33,Polysemy,0.14804410934448242,0.044290781021118164,high overlap,N,False,Klepousniotou et al (2008),class,M1_b_M2_a,class
34,Polysemy,0.13308411836624146,0.08517211675643921,high overlap,N,False,Klepousniotou et al (2008),class,M1_b_M2_b,class
35,Polysemy,0.053896427154541016,0.06321001052856445,high overlap,N,True,Klepousniotou et al (2008),class,M2_a_M2_b,class
36,Polysemy,0.09608209133148193,0.09876525402069092,high overlap,N,True,Klepousniotou et al (2008),cloud,M1_a_M1_b,cloud
37,Polysemy,0.08582180738449097,0.04245489835739136,high overlap,N,False,Klepousniotou et al (2008),cloud,M1_a_M2_a,cloud
38,Polysemy,0.09679889678955078,0.04262763261795044,high overlap,N,False,Klepousniotou et al (2008),cloud,M1_a_M2_b,cloud
39,Polysemy,0.10595929622650146,0.11079204082489014,high overlap,N,False,Klepousniotou et al (2008),cloud,M1_b_M2_a,cloud
40,Polysemy,0.15078604221343994,0.11443990468978882,high overlap,N,False,Klepousniotou et al (2008),cloud,M1_b_M2_b,cloud
41,Polysemy,0.09216082096099854,0.030448615550994873,high overlap,N,True,Klepousniotou et al (2008),cloud,M2_a_M2_b,cloud
42,Polysemy,0.10684758424758911,0.0400005578994751,high overlap,N,True,Klepousniotou et al (2008),contribution,M1_a_M1_b,contribution
43,Polysemy,0.30630040168762207,0.104591965675354,high overlap,N,False,Klepousniotou et al (2008),contribution,M1_a_M2_a,contribution
44,Polysemy,0.5385007858276367,0.06754803657531738,high overlap,N,False,Klepousniotou et al (2008),contribution,M1_a_M2_b,contribution
45,Polysemy,0.31155407428741455,0.11012262105941772,high overlap,N,False,Klepousniotou et al (2008),contribution,M1_b_M2_a,contribution
46,Polysemy,0.5391724109649658,0.04740631580352783,high overlap,N,False,Klepousniotou et al (2008),contribution,M1_b_M2_b,contribution
47,Polysemy,0.5013157427310944,0.059293270111083984,high overlap,N,True,Klepousniotou et al (2008),contribution,M2_a_M2_b,contribution
48,Polysemy,0.15165448188781738,0.03999704122543335,high overlap,N,True,Klepousniotou et al (2008),design,M1_a_M1_b,design
49,Polysemy,0.2219792604446411,0.09720396995544434,high overlap,N,False,Klepousniotou et al (2008),design,M1_a_M2_a,design
50,Polysemy,0.1854807734489441,0.062093138694763184,high overlap,N,False,Klepousniotou et al (2008),design,M1_a_M2_b,design
51,Polysemy,0.2165418267250061,0.09024059772491455,high overlap,N,False,Klepousniotou et al (2008),design,M1_b_M2_a,design
52,Polysemy,0.16611164808273315,0.04831308126449585,high overlap,N,False,Klepousniotou et al (2008),design,M1_b_M2_b,design
53,Polysemy,0.14442694187164307,0.09320652484893799,high overlap,N,True,Klepousniotou et al (2008),design,M2_a_M2_b,design
54,Polysemy,0.09504109621047974,0.034637510776519775,high overlap,N,True,Klepousniotou et al (2008),dinner,M1_a_M1_b,dinner
55,Polysemy,0.12238568067550659,0.06936866044998169,high overlap,N,False,Klepousniotou et al (2008),dinner,M1_a_M2_a,dinner
56,Polysemy,0.08950656652450562,0.03985488414764404,high overlap,N,False,Klepousniotou et al (2008),dinner,M1_a_M2_b,dinner
57,Polysemy,0.07536804676055908,0.057321906089782715,high overlap,N,False,Klepousniotou et al (2008),dinner,M1_b_M2_a,dinner
58,Polysemy,0.12870866060256958,0.04184752702713013,high overlap,N,False,Klepousniotou et al (2008),dinner,M1_b_M2_b,dinner
59,Polysemy,0.06375491619110107,0.05477118492126465,high overlap,N,True,Klepousniotou et al (2008),dinner,M2_a_M2_b,dinner
60,Polysemy,0.11092936992645264,0.06938493251800537,high overlap,N,True,Klepousniotou et al (2008),dream,M1_a_M1_b,dream
61,Polysemy,0.10328900814056396,0.0660809874534607,high overlap,N,False,Klepousniotou et al (2008),dream,M1_a_M2_a,dream
